YEAR,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS/MINUS,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST_Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,RAFGM,RAFGA,RAFG%,NRAFGM,NRAFGA,NRAFG%,MRFGM,MRFGA,MRFG%,LC3M,LC3A,LC3%,RC3M,RC3A,RC3%,C3M,C3A,C3%,ATB3M,ATB3A,ATB3%,ORAFGM,ORAFGA,ORAFG%,ONRAFGM,ONRAFGA,ONRAFG%,OMRFGM,OMRFGA,OMRFG%,OLC3M,OLC3A,OLC3%,ORC3M,ORC3A,ORC3%,OC3M,OC3A,OC3%,OATB3M,OATB3A,OATB3%
2019,Los Angeles Lakers,82,37,45,0.451,48.2,111.8,42.6,90.5,47,10.3,31,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,-1.7,107.4,108.9,-1.6,60,1.63,17.8,27,72.5,50.2,15,52.7,55.4,103.6,49.5,"8,534",23.2,35.8,64.6,4.6,12.6,36.8,4.4,11.2,39.8,1.2,3.5,34,1.2,3.4,35.6,2.4,6.9,34.8,7.9,23.9,33.1,20,33.1,60.5,5.1,13.3,38.6,5,12.6,39.6,1.5,3.8,37.9,1.4,3.8,35.6,2.8,7.7,36.7,9,26.1,34.5
2019,Milwaukee Bucks,82,60,22,0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,13.9,7.5,5.9,4.8,19.6,20.2,8.9,113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3,"8,533",22.6,34.1,66.2,4.1,10.5,38.9,3.2,8.4,38.6,1.4,3.8,37.2,1.5,4,39.1,3,7.7,38.2,10.5,30.4,34.7,14.8,25.5,58,6.3,16.3,38.7,6.3,15.5,41,1.7,4.1,41.4,1.4,3.6,40.1,3.1,7.7,40.8,10,28.4,35.1
2019,New York Knicks,82,17,65,0.207,48.2,104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5,34.3,44.7,20.1,14,6.8,5.1,5.6,20.9,20.8,-9.2,104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2,"8,244",17.4,30,57.9,4.7,12.5,37.3,6.2,16.4,37.8,0.9,2.5,33.8,1,2.8,35.1,1.8,5.3,34.5,8.2,24,34,20.3,32.4,62.5,5,12.1,41.5,4.8,12.6,38.1,1.7,4.4,39.1,1.5,3.8,40.9,3.3,8.2,39.9,8.5,24.2,35.3
2019,Portland Trail Blazers,82,53,29,0.646,48.4,114.7,42.3,90.6,46.7,11,30.7,35.9,19,23.3,81.4,11.8,36.2,48,23,13.8,6.7,5,5.1,20.4,20.7,4.2,113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1,"8,269",19.7,32.7,60.4,4.9,12,41.2,6.6,15.3,43.6,1,2.6,38.9,0.8,2.4,33.2,1.8,5,36.1,9.2,25.6,36,18.4,30.1,61,5.5,13.9,39.7,6.5,16.2,40,1.1,2.9,37,0.9,2.6,35,2,5.5,36,8.7,24,36.2
2018,Charlotte Hornets,82,36,46,0.439,48.2,108.2,39,86.7,45,10,27.2,36.9,20.2,27,74.7,10.1,35.4,45.5,21.6,12.7,6.8,4.5,4.9,17.2,22.4,0.3,109,109,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50,"8,143",16.2,26.5,61.2,5.7,14.1,40.1,7.1,18.9,37.5,0.8,2.4,35.6,0.8,2.1,37.4,1.6,4.4,36.5,8.4,22.5,37.4,16.7,25.8,64.7,5.9,13.9,42.5,7.2,18,40,1.2,3.3,37.6,1.3,2.9,45.3,2.5,6.1,41.2,8.8,23.8,36.9
2018,Dallas Mavericks,82,24,58,0.293,48.3,102.3,38.1,85.9,44.4,11.8,32.8,36,14.2,18.7,76.3,8.1,33.1,41.3,22.7,12.3,7,3.8,4.5,19.2,19.6,-3,105.4,108.4,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.7,51.3,54.4,96.53,47.5,"7,959",14.5,23.3,62.3,4.9,12.4,39.7,7,17.4,39.9,1.3,3.2,39.2,1.1,2.5,45.6,2.4,5.7,42,9.4,26.8,35,15.4,23,66.8,5.7,13.5,42.4,7.5,17.9,42,1.1,3.1,34.6,1.2,2.9,41.3,2.3,6.1,37.8,8.3,23,36.2
2018,Los Angeles Lakers,82,35,47,0.427,48.5,108.1,40.7,88.4,46.1,10,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,15.8,7.7,4.7,5.5,21.2,20.5,-1.5,106,107.3,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1,"8,361",20.7,32.4,63.8,5.3,14,37.7,4.8,13,36.8,1,2.7,38.3,1,2.4,40.4,2,5,39.3,8,23.8,33.7,18.9,30.5,62,5.6,13.9,40.2,6.1,15.4,39.7,1.2,3.3,37.4,1,3,34.7,2.2,6.2,36.1,8.2,23.7,34.6
2018,Milwaukee Bucks,82,44,38,0.537,48.4,106.5,39.7,83,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,13.8,8.8,5.4,4.5,21.4,19.9,-0.3,109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2,"8,013",18.6,28.8,64.5,5.1,12.3,41.4,7.3,17.3,42.3,1.2,3,39.3,1.5,3.7,41.7,2.7,6.7,40.7,6,17.8,33.8,19.5,30.7,63.5,4.2,11.7,36,5.4,14.3,37.6,1.4,3.3,43.3,1.1,2.9,39.3,2.5,6.1,41.5,7.6,20.8,36.3
2018,New York Knicks,82,29,53,0.354,48.4,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19,78.7,10.5,33.6,44,23.3,14.7,6.7,5.1,4.7,20.5,18.4,-3.6,106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1,"8,059",16.9,27,62.6,6.5,14.9,43.6,9.1,22.5,40.3,1.3,2.9,43.1,0.7,1.9,36.8,1.9,4.8,40.7,6.3,18.3,34.2,16.8,27.7,60.7,4.9,12.3,40,6.5,15.9,41,1.9,4.3,44,1.3,3.5,36.7,3.1,7.7,40.8,8,22.5,35.7
2018,Portland Trail Blazers,82,49,33,0.598,48.2,105.6,39.3,87,45.2,10.3,28.1,36.6,16.7,20.9,80,10.2,35.3,45.5,19.5,13.5,7,5.2,5.1,19.5,19.1,2.6,108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51,"7,992",16.1,27.7,58.1,5.4,13.4,40.5,7.5,17.7,42.2,1,2.7,37.4,1,2.5,39.6,2,5.2,38.4,8.3,22.9,36.3,15,27.1,55.4,6,14,42.9,7.6,18.2,42,1,2.7,38,1.1,2.5,43.5,2.1,5.1,40.6,7.6,21.1,36
2017,Charlotte Hornets,82,36,46,0.439,48.4,104.9,37.7,85.4,44.2,10,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7,4.8,5.5,16.6,19.9,0.2,108.4,108.4,0,61.1,2.01,17.6,24.7,74.9,49.6,11.9,50.1,54.7,95.92,50.5,"7,934",15.2,25.5,59.8,4.7,11.5,40.7,7.7,19.7,39.3,0.8,2.2,36.4,0.7,1.7,38.7,1.5,4,37.4,8.5,24.4,35,15.9,26.7,59.5,4.3,10,43.5,7.6,18.4,41.6,1.4,3.8,37.3,1.4,3.6,40.4,2.9,7.4,38.8,8.7,23.8,36.6
2017,Dallas Mavericks,82,33,49,0.402,48.2,97.9,36.2,82.3,44,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,-2.9,104.7,107.7,-3,57.4,1.75,16.8,21.6,73.3,46.5,12.7,50.5,54.1,93.11,47.9,"7,668",11.5,18.6,61.8,4.9,10.9,44.9,9.1,22.7,40.2,1.1,3,37.6,1.2,3.2,36.6,2.3,6.1,37.1,8.4,23.8,35.4,14.8,22.7,65.1,5,11.7,42.4,7.6,19.3,39.6,1.3,3.3,40.3,1.4,3.4,41.8,2.7,6.7,41.1,6.8,18.4,37.2
2017,Los Angeles Lakers,82,26,56,0.317,48.1,104.6,39.3,87.4,45,8.9,25.7,34.6,17,22.6,75.4,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5,-6.9,105.3,112,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,99.26,44.6,"8,143",17.7,29.3,60.5,6.1,15.2,40.4,6.5,17.2,38.2,1.2,3.1,37.5,1.1,2.9,37.3,2.2,5.9,37.4,6.6,19.3,34,18.7,28.5,65.5,5.1,11.6,43.6,7.7,18.5,41.4,1.2,3.2,36.8,1.2,3.1,39.5,2.4,6.3,38.1,7.6,20.6,36.9
2017,Milwaukee Bucks,82,42,40,0.512,48.2,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14,8.1,5.3,4.6,20.2,19.3,-0.2,108.5,108.7,-0.2,62.4,1.73,18.5,26,70.6,48.7,14.6,52.7,56.5,94.99,50.4,"7,828",19.5,31.3,62.4,4.8,12.1,39.4,5.7,14.7,38.8,1.2,3.3,36.2,1.5,3.6,41.1,2.7,6.9,38.7,6,16.5,36.5,17.6,29,60.6,4.2,9.7,43.7,6.2,16.1,38.7,1.7,4.2,41.2,1.6,4.3,37.8,3.4,8.5,39.5,6.5,19.4,33.7
2017,New York Knicks,82,31,51,0.378,48.4,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12,33.2,45.2,21.8,13.9,7.1,5.5,4.6,20.3,18.5,-3.7,107.1,110.7,-3.6,55.1,1.57,16.3,30.5,69.8,50,14.3,49.6,53.4,96.63,48.2,"7,990",15.9,27.8,57.2,4.3,10.6,40.2,10.8,25.3,42.5,1.3,3.1,41.7,1.2,2.7,43,2.5,5.8,42.3,6.1,18.5,33,18.7,31.4,59.6,4.3,10.9,39.9,6.9,16.9,40.7,1.4,3.4,40.9,1.3,3.4,38.3,2.7,6.8,39.6,7.1,21.2,33.7
2017,Portland Trail Blazers,82,41,41,0.5,48.6,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78,10.1,33.5,43.7,21.1,13.7,7,5,5.3,21.2,19.8,-0.5,109.4,110,-0.6,53.4,1.54,16,26.9,72,49.6,13.9,52,55.9,97.38,49.3,"8,088",16.3,28.2,57.7,4.9,11.5,42.8,8,18.7,42.7,1,2.8,34.5,1.2,2.9,40.6,2.1,5.7,37.6,8.2,21.8,37.8,15.2,27,56.4,6.2,13.3,46.8,8.4,20.8,40.5,1,2.6,36.7,0.9,2.5,36.8,1.9,5.2,36.8,7.4,19.6,37.6
